algorithm,seed,step,success_rate,mean_score,solved_count,total_episodes,filled_mean,violations_mean,zero_cand_mean
ppo,123,3700,0.18,11.68,,,14.74,1.18,0.14
ppo,123,3800,0.24,11.76,,,14.8,1.32,0.08
ppo,123,3900,0.2,12.02,,,14.76,1.22,0.06
ppo,123,4000,0.26,12.44,,,14.76,0.96,0.08
ppo,123,4100,0.18,11.78,,,14.74,1.38,0.04
ppo,123,4200,0.14,10.86,,,14.8,1.72,0.1
ppo,123,4300,0.24,11.82,,,14.82,1.2,0.12
ppo,123,4400,0.24,12.28,,,14.7,0.86,0.14
ppo,123,4500,0.14,11.56,,,14.76,1.5,0.04
ppo,123,4600,0.16,11.44,,,14.7,1.38,0.1
ppo,123,4700,0.14,11.62,,,14.66,1.32,0.08
ppo,123,4800,0.2,11.22,,,14.76,1.62,0.06
ppo,123,4900,0.18,11.96,,,14.66,1.2,0.06
ppo,123,5000,0.16,11.58,,,14.74,1.28,0.12
ppo,456,100,0.16,10.02,,,14.76,1.92,0.18
ppo,456,200,0.06,9.74,,,14.82,2.24,0.12
ppo,456,300,0.14,10.76,,,14.68,1.56,0.16
ppo,456,400,0.14,10.24,,,14.7,1.88,0.14
ppo,456,500,0.2,11.5,,,14.82,1.36,0.12
ppo,456,600,0.22,11.26,,,14.82,1.28,0.2
ppo,456,700,0.2,11.5,,,14.76,1.28,0.14
ppo,456,800,0.16,11.66,,,14.76,1.5,0.02
ppo,456,900,0.14,11.54,,,14.76,1.36,0.1
ppo,456,1000,0.12,11.76,,,14.74,1.24,0.1
ppo,456,1100,0.1,10.2,,,14.84,2.02,0.12
ppo,456,1200,0.2,11.64,,,14.84,1.5,0.04
ppo,456,1300,0.16,11.56,,,14.8,1.52,0.04
ppo,456,1400,0.18,11.1,,,14.8,1.3,0.22
ppo,456,1500,0.16,11.32,,,14.82,1.4,0.14
ppo,456,1600,0.1,11.84,,,14.8,1.28,0.08
ppo,456,1700,0.2,12.46,,,14.82,1.08,0.04
ppo,456,1800,0.06,11.72,,,14.76,1.42,0.04
ppo,456,1900,0.14,11.68,,,14.78,1.3,0.1
ppo,456,2000,0.14,11.84,,,14.82,1.44,0.02
ppo,456,2100,0.1,11.2,,,14.74,1.62,0.06
ppo,456,2200,0.14,11.7,,,14.8,1.3,0.1
ppo,456,2300,0.14,11.54,,,14.88,1.52,0.06
ppo,456,2400,0.14,10.88,,,14.86,1.74,0.1
ppo,456,2500,0.2,11.68,,,14.78,1.1,0.18
ppo,456,2600,0.12,11.38,,,14.74,1.28,0.16
ppo,456,2700,0.08,11.14,,,14.72,1.54,0.1
ppo,456,2800,0.16,11.62,,,14.68,1.18,0.14
ppo,456,2900,0.14,11.64,,,14.72,1.14,0.16
ppo,456,3000,0.24,11.58,,,14.88,1.3,0.14
ppo,456,3100,0.12,10.84,,,14.74,1.4,0.22
ppo,456,3200,0.14,11.26,,,14.7,1.22,0.2
ppo,456,3300,0.12,11.64,,,14.82,1.44,0.06
ppo,456,3400,0.1,10.96,,,14.72,1.58,0.12
ppo,456,3500,0.06,11.38,,,14.66,1.54,0.04
ppo,456,3600,0.1,11.82,,,14.76,1.32,0.06
ppo,456,3700,0.14,11.9,,,14.78,1.24,0.08
ppo,456,3800,0.18,11.54,,,14.78,1.22,0.16
ppo,456,3900,0.12,11.82,,,14.68,1.18,0.1
ppo,456,4000,0.1,11.5,,,14.68,1.24,0.14
ppo,456,4100,0.18,11.82,,,14.7,1.04,0.16
ppo,456,4200,0.06,10.96,,,14.84,1.54,0.16
ppo,456,4300,0.2,12.06,,,14.74,1.04,0.12
ppo,456,4400,0.16,11.96,,,14.7,1.22,0.06
ppo,456,4500,0.2,12.1,,,14.76,1.08,0.1
ppo,456,4600,0.2,11.94,,,14.76,1.16,0.1
ppo,456,4700,0.24,12.12,,,14.76,1.12,0.08
ppo,456,4800,0.24,12.26,,,14.74,0.94,0.12
ppo,456,4900,0.22,11.72,,,14.8,1.24,0.12
ppo,456,5000,0.18,12.34,,,14.72,1.04,0.06
a2c,123,100,0.04,9.46,,,14.66,2.2,0.16
a2c,123,200,0.02,10.52,,,14.66,1.82,0.1
a2c,123,300,0.02,9.92,,,14.64,2.06,0.12
a2c,123,400,0.1,10.36,,,14.64,1.84,0.12
a2c,123,500,0.08,10.44,,,14.7,1.78,0.14
a2c,123,600,0.1,10.1,,,14.7,2.0,0.12
a2c,123,700,0.06,9.98,,,14.7,1.96,0.16
a2c,123,800,0.1,9.9,,,14.68,2.04,0.14
a2c,123,900,0.12,10.04,,,14.76,2.06,0.12
a2c,123,1000,0.08,10.3,,,14.7,2.0,0.08
a2c,123,1100,0.08,10.52,,,14.72,1.8,0.12
a2c,123,1200,0.12,11.2,,,14.76,1.58,0.08
a2c,123,1300,0.12,11.14,,,14.7,1.58,0.08
a2c,123,1400,0.16,11.64,,,14.7,1.28,0.1
a2c,123,1500,0.12,11.78,,,14.78,1.4,0.04
a2c,123,1600,0.12,11.74,,,14.68,1.32,0.06
a2c,123,1700,0.18,12.12,,,14.72,1.1,0.08
a2c,123,1800,0.16,12.16,,,14.68,1.16,0.04
a2c,123,1900,0.16,12.08,,,14.66,1.14,0.06
a2c,123,2000,0.16,11.88,,,14.78,1.3,0.06
a2c,123,2100,0.16,11.96,,,14.68,1.06,0.12
a2c,123,2200,0.2,12.28,,,14.72,1.02,0.08
a2c,123,2300,0.22,12.52,,,14.72,0.9,0.08
a2c,123,2400,0.2,12.24,,,14.7,0.98,0.1
a2c,123,2500,0.16,12.58,,,14.7,0.86,0.08
a2c,123,2600,0.18,12.46,,,14.64,0.94,0.06
a2c,123,2700,0.24,13.04,,,14.78,0.72,0.06
a2c,123,2800,0.24,13.18,,,14.7,0.56,0.08
a2c,123,2900,0.3,13.46,,,14.76,0.5,0.06
a2c,123,3000,0.28,13.54,,,14.72,0.54,0.02
a2c,123,3100,0.26,13.44,,,14.74,0.5,0.06
a2c,123,3200,0.28,13.28,,,14.7,0.56,0.06
a2c,123,3300,0.32,14.04,,,14.74,0.3,0.02
a2c,123,3400,0.34,13.64,,,14.76,0.46,0.04
a2c,123,3500,0.34,13.84,,,14.8,0.48,0.0
a2c,123,3600,0.32,13.74,,,14.72,0.44,0.02
a2c,123,3700,0.38,13.94,,,14.86,0.46,0.0
a2c,123,3800,0.3,14.08,,,14.82,0.32,0.02
a2c,123,3900,0.32,13.78,,,14.72,0.32,0.06
a2c,123,4000,0.3,13.98,,,14.78,0.4,0.0
a2c,123,4100,0.36,14.42,,,14.78,0.18,0.0
a2c,123,4200,0.34,14.0,,,14.72,0.36,0.0
a2c,123,4300,0.3,13.66,,,14.74,0.54,0.0
a2c,123,4400,0.3,13.68,,,14.76,0.54,0.0
a2c,123,4500,0.3,13.92,,,14.78,0.38,0.02
a2c,123,4600,0.28,13.82,,,14.8,0.44,0.02
a2c,123,4700,0.24,13.62,,,14.72,0.5,0.02
a2c,123,4800,0.3,13.96,,,14.82,0.38,0.02
a2c,123,4900,0.32,13.98,,,14.84,0.38,0.02
a2c,123,5000,0.36,14.1,,,14.9,0.3,0.04
a2c,456,100,0.12,9.84,,,14.68,1.92,0.2
a2c,456,200,0.18,10.52,,,14.7,1.74,0.14
a2c,456,300,0.16,10.44,,,14.72,1.84,0.12
a2c,456,400,0.14,10.56,,,14.64,1.54,0.2
a2c,456,500,0.12,9.86,,,14.72,2.18,0.1
a2c,456,600,0.16,9.96,,,14.66,1.8,0.22
a2c,456,700,0.12,10.32,,,14.72,1.9,0.12
a2c,456,800,0.1,11.14,,,14.68,1.62,0.06
a2c,456,900,0.2,11.56,,,14.72,1.28,0.12
a2c,456,1000,0.08,10.74,,,14.66,1.76,0.08
a2c,456,1100,0.14,11.02,,,14.68,1.68,0.06
a2c,456,1200,0.14,11.06,,,14.72,1.68,0.06
a2c,456,1300,0.16,11.44,,,14.72,1.44,0.08
a2c,456,1400,0.12,10.96,,,14.74,1.64,0.1
a2c,456,1500,0.08,11.16,,,14.74,1.54,0.1
a2c,456,1600,0.08,11.88,,,14.72,1.22,0.08
a2c,456,1700,0.06,11.6,,,14.68,1.44,0.04
a2c,456,1800,0.16,11.88,,,14.66,1.14,0.1
a2c,456,1900,0.2,12.56,,,14.74,0.84,0.1
a2c,456,2000,0.22,12.78,,,14.68,0.7,0.1
a2c,456,2100,0.22,13.04,,,14.7,0.68,0.06
a2c,456,2200,0.18,12.82,,,14.72,0.8,0.06
a2c,456,2300,0.18,12.12,,,14.72,1.2,0.04
a2c,456,2400,0.18,13.08,,,14.7,0.76,0.02
a2c,456,2500,0.2,13.1,,,14.66,0.78,0.0
a2c,456,2600,0.24,13.34,,,14.66,0.66,0.0
a2c,456,2700,0.24,12.7,,,14.76,0.98,0.02
a2c,456,2800,0.18,12.92,,,14.72,0.9,0.0
a2c,456,2900,0.18,12.46,,,14.74,1.04,0.04
a2c,456,3000,0.2,13.04,,,14.76,0.86,0.0
a2c,456,3100,0.16,12.46,,,14.7,0.92,0.08
a2c,456,3200,0.16,12.6,,,14.66,0.88,0.06
a2c,456,3300,0.14,12.86,,,14.68,0.76,0.06
a2c,456,3400,0.22,13.24,,,14.7,0.58,0.06
a2c,456,3500,0.22,12.64,,,14.72,0.84,0.08
a2c,456,3600,0.24,12.84,,,14.8,0.78,0.08
a2c,456,3700,0.26,12.94,,,14.78,0.72,0.08
a2c,456,3800,0.26,13.32,,,14.78,0.58,0.06
a2c,456,3900,0.34,13.8,,,14.84,0.42,0.04
a2c,456,4000,0.22,13.32,,,14.74,0.56,0.06
a2c,456,4100,0.24,13.32,,,14.74,0.56,0.06
a2c,456,4200,0.3,13.16,,,14.82,0.68,0.06
a2c,456,4300,0.3,13.76,,,14.82,0.48,0.02
a2c,456,4400,0.28,13.76,,,14.74,0.44,0.02
a2c,456,4500,0.3,14.14,,,14.76,0.26,0.02
a2c,456,4600,0.3,13.86,,,14.78,0.46,0.0
a2c,456,4700,0.28,13.62,,,14.78,0.58,0.0
a2c,456,4800,0.3,13.7,,,14.8,0.5,0.02
a2c,456,4900,0.3,13.9,,,14.76,0.38,0.02
a2c,456,5000,0.24,13.92,,,14.78,0.38,0.02
dqn,123,100,0.1,10.1,,,14.7,2.2,0.04
dqn,123,200,0.12,10.08,,,14.72,2.02,0.12
dqn,123,300,0.16,10.74,,,14.74,1.8,0.08
dqn,123,400,0.14,11.08,,,14.66,1.64,0.06
dqn,123,500,0.16,10.52,,,14.74,1.96,0.06
dqn,123,600,0.12,10.3,,,14.7,2.0,0.08
dqn,123,700,0.14,10.86,,,14.8,1.92,0.02
dqn,123,800,0.14,10.4,,,14.8,2.1,0.04
dqn,123,900,0.18,10.42,,,14.78,1.88,0.12
dqn,123,1000,0.14,10.66,,,14.8,2.02,0.02
dqn,123,1100,0.12,10.82,,,14.72,1.9,0.02
dqn,123,1200,0.12,10.84,,,14.78,1.82,0.06
dqn,123,1300,0.14,10.64,,,14.76,1.86,0.08
dqn,123,1400,0.1,10.36,,,14.82,2.08,0.06
dqn,123,1500,0.12,9.96,,,14.78,2.16,0.1
dqn,123,1600,0.14,10.72,,,14.72,1.9,0.04
dqn,123,1700,0.12,10.56,,,14.78,2.06,0.02
dqn,123,1800,0.1,10.24,,,14.74,2.1,0.06
dqn,123,1900,0.16,10.64,,,14.76,1.96,0.04
dqn,123,2000,0.14,10.6,,,14.8,2.0,0.04
dqn,123,2100,0.14,10.14,,,14.82,2.24,0.04
dqn,123,2200,0.12,10.4,,,14.8,2.0,0.08
dqn,123,2300,0.14,10.76,,,14.78,1.86,0.06
dqn,123,2400,0.14,10.74,,,14.78,1.92,0.04
dqn,123,2500,0.16,10.92,,,14.78,1.88,0.02
dqn,123,2600,0.16,10.98,,,14.76,1.74,0.06
dqn,123,2700,0.16,10.72,,,14.76,1.92,0.04
dqn,123,2800,0.18,10.94,,,14.74,1.7,0.08
dqn,123,2900,0.12,11.0,,,14.74,1.72,0.06
dqn,123,3000,0.16,11.18,,,14.76,1.74,0.02
dqn,123,3100,0.12,10.74,,,14.74,1.9,0.04
dqn,123,3200,0.16,11.02,,,14.76,1.72,0.06
dqn,123,3300,0.12,10.38,,,14.72,2.02,0.06
dqn,123,3400,0.14,10.44,,,14.74,1.9,0.1
dqn,123,3500,0.1,10.62,,,14.72,1.9,0.06
dqn,123,3600,0.12,10.72,,,14.74,1.86,0.06
dqn,123,3700,0.14,10.54,,,14.7,1.88,0.08
dqn,123,3800,0.14,10.58,,,14.68,1.9,0.06
dqn,123,3900,0.14,10.62,,,14.7,1.94,0.04
dqn,123,4000,0.14,10.62,,,14.7,1.94,0.04
dqn,123,4100,0.12,10.38,,,14.68,2.0,0.06
dqn,123,4200,0.16,10.48,,,14.7,1.96,0.06
dqn,123,4300,0.16,10.38,,,14.72,2.02,0.06
dqn,123,4400,0.16,10.76,,,14.72,1.88,0.04
dqn,123,4500,0.14,10.4,,,14.74,2.02,0.06
dqn,123,4600,0.14,10.32,,,14.76,2.12,0.04
dqn,123,4700,0.12,10.62,,,14.7,1.94,0.04
dqn,123,4800,0.16,10.46,,,14.72,1.98,0.06
dqn,123,4900,0.16,10.56,,,14.72,1.98,0.04
dqn,123,5000,0.18,10.16,,,14.76,2.1,0.08
dqn,456,100,0.14,9.64,,,14.78,2.22,0.14
dqn,456,200,0.12,9.96,,,14.82,2.18,0.1
dqn,456,300,0.12,9.76,,,14.76,2.2,0.12
dqn,456,400,0.12,9.64,,,14.78,2.22,0.14
dqn,456,500,0.12,9.66,,,14.74,2.14,0.16
dqn,456,600,0.12,9.96,,,14.78,2.16,0.1
dqn,456,700,0.14,10.08,,,14.72,2.12,0.08
dqn,456,800,0.12,9.32,,,14.82,2.4,0.14
dqn,456,900,0.14,10.18,,,14.74,2.08,0.08
dqn,456,1000,0.12,9.16,,,14.82,2.48,0.14
dqn,456,1100,0.12,9.1,,,14.8,2.4,0.18
dqn,456,1200,0.12,9.34,,,14.76,2.36,0.14
dqn,456,1300,0.1,9.32,,,14.8,2.44,0.12
dqn,456,1400,0.16,9.72,,,14.8,2.24,0.12
dqn,456,1500,0.14,9.28,,,14.84,2.48,0.12
dqn,456,1600,0.12,9.0,,,14.84,2.42,0.2
dqn,456,1700,0.12,9.18,,,14.84,2.48,0.14
dqn,456,1800,0.12,9.3,,,14.78,2.44,0.12
dqn,456,1900,0.1,9.46,,,14.84,2.34,0.14
dqn,456,2000,0.12,9.3,,,14.8,2.4,0.14
dqn,456,2100,0.1,9.46,,,14.84,2.34,0.14
dqn,456,2200,0.14,9.48,,,14.84,2.28,0.16
dqn,456,2300,0.14,9.62,,,14.74,2.16,0.16
dqn,456,2400,0.16,9.68,,,14.8,2.16,0.16
dqn,456,2500,0.16,9.62,,,14.74,2.26,0.12
dqn,456,2600,0.14,9.32,,,14.82,2.4,0.14
dqn,456,2700,0.1,9.2,,,14.84,2.52,0.12
dqn,456,2800,0.08,8.86,,,14.88,2.66,0.14
dqn,456,2900,0.14,9.18,,,14.88,2.5,0.14
dqn,456,3000,0.12,9.3,,,14.88,2.54,0.1
dqn,456,3100,0.1,8.86,,,14.86,2.5,0.2
dqn,456,3200,0.1,9.6,,,14.78,2.24,0.14
dqn,456,3300,0.1,9.36,,,14.8,2.32,0.16
dqn,456,3400,0.06,9.16,,,14.84,2.44,0.16
dqn,456,3500,0.08,8.88,,,14.84,2.48,0.2
dqn,456,3600,0.08,9.28,,,14.82,2.32,0.18
dqn,456,3700,0.08,9.7,,,14.72,2.06,0.18
dqn,456,3800,0.08,9.34,,,14.76,2.26,0.18
dqn,456,3900,0.06,9.24,,,14.8,2.28,0.2
dqn,456,4000,0.08,9.48,,,14.76,2.14,0.2
dqn,456,4100,0.08,9.6,,,14.72,2.16,0.16
dqn,456,4200,0.06,9.5,,,14.74,2.22,0.16
dqn,456,4300,0.1,9.6,,,14.74,2.12,0.18
dqn,456,4400,0.12,9.54,,,14.82,2.14,0.2
dqn,456,4500,0.1,9.76,,,14.76,2.0,0.2
dqn,456,4600,0.08,9.24,,,14.76,2.26,0.2
dqn,456,4700,0.08,9.02,,,14.8,2.34,0.22
dqn,456,4800,0.08,9.44,,,14.78,2.22,0.18
dqn,456,4900,0.06,9.14,,,14.84,2.4,0.18
dqn,456,5000,0.08,9.3,,,14.8,2.2,0.22
contraction_zonly,42,50,0.08,9.5,4,50,14.78,2.64,0.06
contraction_zonly,42,100,0.08,9.82,4,50,14.74,2.46,0.06
contraction_zonly,42,150,0.08,10.18,4,50,14.74,2.28,0.06
contraction_zonly,42,200,0.08,10.06,4,50,14.74,2.34,0.06
contraction_zonly,42,250,0.08,10.06,4,50,14.74,2.34,0.06
contraction_zonly,42,300,0.08,10.22,4,50,14.7,2.24,0.06
contraction_zonly,123,50,0.12,10.92,6,50,14.72,1.9,0.12
contraction_zonly,123,100,0.12,10.82,6,50,14.74,1.96,0.12
contraction_zonly,123,150,0.14,10.84,7,50,14.76,1.96,0.12
contraction_zonly,123,200,0.14,10.84,7,50,14.76,1.96,0.12
contraction_zonly,123,250,0.14,10.84,7,50,14.76,1.96,0.12
contraction_zonly,123,300,0.14,10.94,7,50,14.74,1.9,0.12
